pr,year,month,iso
10.5797,1901,1,DZA
11.5998,1901,2,DZA
7.82552,1901,3,DZA
5.89115,1901,4,DZA
11.3928,1901,5,DZA
2.83534,1901,6,DZA
2.98966,1901,7,DZA
4.65369,1901,8,DZA
9.56718,1901,9,DZA
18.7058,1901,10,DZA
13.2166,1901,11,DZA
15.9049,1901,12,DZA
5.75499,1902,1,DZA
13.074,1902,2,DZA
9.75179,1902,3,DZA
6.63628,1902,4,DZA
7.70226,1902,5,DZA
4.02804,1902,6,DZA
3.67464,1902,7,DZA
3.36704,1902,8,DZA
6.11372,1902,9,DZA
14.3822,1902,10,DZA
14.7677,1902,11,DZA
13.0189,1902,12,DZA
9.14265,1903,1,DZA
3.38871,1903,2,DZA
7.77865,1903,3,DZA
4.94238,1903,4,DZA
6.79535,1903,5,DZA
3.08887,1903,6,DZA
2.02789,1903,7,DZA
2.193,1903,8,DZA
5.90193,1903,9,DZA
5.67672,1903,10,DZA
7.87693,1903,11,DZA
18.6082,1903,12,DZA
24.1343,1904,1,DZA
15.4887,1904,2,DZA
17.8547,1904,3,DZA
14.0805,1904,4,DZA
2.70208,1904,5,DZA
4.95727,1904,6,DZA
2.36333,1904,7,DZA
3.15529,1904,8,DZA
4.40834,1904,9,DZA
7.58068,1904,10,DZA
7.88956,1904,11,DZA
11.7902,1904,12,DZA
7.55937,1905,1,DZA
5.67974,1905,2,DZA
4.93157,1905,3,DZA
7.05209,1905,4,DZA
14.3006,1905,5,DZA
3.6052,1905,6,DZA
2.25502,1905,7,DZA
2.60078,1905,8,DZA
2.41697,1905,9,DZA
15.6155,1905,10,DZA
10.5882,1905,11,DZA
12.4231,1905,12,DZA
16.3882,1906,1,DZA
9.95141,1906,2,DZA
8.54969,1906,3,DZA
8.1069,1906,4,DZA
8.47011,1906,5,DZA
3.20332,1906,6,DZA
3.81144,1906,7,DZA
3.41997,1906,8,DZA
7.48773,1906,9,DZA
6.12895,1906,10,DZA
8.13559,1906,11,DZA
11.5849,1906,12,DZA
7.76116,1907,1,DZA
12.7577,1907,2,DZA
8.21234,1907,3,DZA
9.42101,1907,4,DZA
4.49464,1907,5,DZA
1.64884,1907,6,DZA
1.69022,1907,7,DZA
3.74784,1907,8,DZA
10.4291,1907,9,DZA
7.28976,1907,10,DZA
15.9839,1907,11,DZA
4.71049,1907,12,DZA
9.33419,1908,1,DZA
12.3603,1908,2,DZA
19.3826,1908,3,DZA
7.15426,1908,4,DZA
9.22493,1908,5,DZA
3.66628,1908,6,DZA
2.3718,1908,7,DZA
3.63876,1908,8,DZA
5.56301,1908,9,DZA
13.0222,1908,10,DZA
6.93165,1908,11,DZA
11.9696,1908,12,DZA
9.66332,1909,1,DZA
5.87805,1909,2,DZA
8.29595,1909,3,DZA
9.86781,1909,4,DZA
7.97242,1909,5,DZA
3.07122,1909,6,DZA
1.75389,1909,7,DZA
2.47191,1909,8,DZA
3.08687,1909,9,DZA
9.2949,1909,10,DZA
10.2157,1909,11,DZA
5.65638,1909,12,DZA
5.83532,1910,1,DZA
7.53476,1910,2,DZA
6.41976,1910,3,DZA
7.22226,1910,4,DZA
16.0924,1910,5,DZA
2.37139,1910,6,DZA
1.4049,1910,7,DZA
1.99034,1910,8,DZA
2.60262,1910,9,DZA
3.36011,1910,10,DZA
3.53133,1910,11,DZA
12.9736,1910,12,DZA
18.5236,1911,1,DZA
7.94473,1911,2,DZA
16.267,1911,3,DZA
6.30055,1911,4,DZA
9.33197,1911,5,DZA
2.73913,1911,6,DZA
2.10276,1911,7,DZA
2.05976,1911,8,DZA
3.69718,1911,9,DZA
9.28618,1911,10,DZA
9.27984,1911,11,DZA
9.27275,1911,12,DZA
15.6113,1912,1,DZA
4.9105,1912,2,DZA
7.3875,1912,3,DZA
9.23114,1912,4,DZA
1.15927,1912,5,DZA
2.18976,1912,6,DZA
1.18701,1912,7,DZA
3.715,1912,8,DZA
12.2832,1912,9,DZA
14.4948,1912,10,DZA
4.25568,1912,11,DZA
16.6752,1912,12,DZA
19.7984,1913,1,DZA
11.2573,1913,2,DZA
3.84918,1913,3,DZA
4.08009,1913,4,DZA
4.00761,1913,5,DZA
1.6388,1913,6,DZA
1.17065,1913,7,DZA
1.85924,1913,8,DZA
1.16186,1913,9,DZA
5.97916,1913,10,DZA
4.44239,1913,11,DZA
5.89398,1913,12,DZA
16.9084,1914,1,DZA
12.2164,1914,2,DZA
7.26161,1914,3,DZA
8.75392,1914,4,DZA
5.64536,1914,5,DZA
2.34794,1914,6,DZA
1.50041,1914,7,DZA
3.73478,1914,8,DZA
5.73124,1914,9,DZA
4.84938,1914,10,DZA
10.8298,1914,11,DZA
6.59594,1914,12,DZA
11.8626,1915,1,DZA
7.67499,1915,2,DZA
7.51923,1915,3,DZA
8.66451,1915,4,DZA
6.36346,1915,5,DZA
5.82779,1915,6,DZA
2.10783,1915,7,DZA
2.83062,1915,8,DZA
7.04436,1915,9,DZA
12.5477,1915,10,DZA
6.78591,1915,11,DZA
8.38899,1915,12,DZA
12.1257,1916,1,DZA
8.76276,1916,2,DZA
9.53508,1916,3,DZA
5.81005,1916,4,DZA
7.39665,1916,5,DZA
2.0719,1916,6,DZA
1.52162,1916,7,DZA
2.93975,1916,8,DZA
5.82309,1916,9,DZA
4.26336,1916,10,DZA
13.7973,1916,11,DZA
12.683,1916,12,DZA
19.3366,1917,1,DZA
10.2784,1917,2,DZA
8.63191,1917,3,DZA
2.88065,1917,4,DZA
5.14234,1917,5,DZA
11.0888,1917,6,DZA
1.20807,1917,7,DZA
1.7974,1917,8,DZA
1.24213,1917,9,DZA
3.20259,1917,10,DZA
11.2663,1917,11,DZA
12.9289,1917,12,DZA
7.19413,1918,1,DZA
4.56799,1918,2,DZA
12.2139,1918,3,DZA
6.21818,1918,4,DZA
8.00751,1918,5,DZA
5.58469,1918,6,DZA
2.94765,1918,7,DZA
2.15957,1918,8,DZA
4.25218,1918,9,DZA
11.4547,1918,10,DZA
22.1566,1918,11,DZA
7.80013,1918,12,DZA
12.3528,1919,1,DZA
6.75815,1919,2,DZA
7.3604,1919,3,DZA
3.35134,1919,4,DZA
4.66048,1919,5,DZA
4.38845,1919,6,DZA
2.14132,1919,7,DZA
2.32144,1919,8,DZA
8.39783,1919,9,DZA
7.1478,1919,10,DZA
5.045,1919,11,DZA
11.1693,1919,12,DZA
3.39235,1920,1,DZA
11.3291,1920,2,DZA
6.22651,1920,3,DZA
2.08047,1920,4,DZA
3.8832,1920,5,DZA
3.79339,1920,6,DZA
1.50743,1920,7,DZA
2.55827,1920,8,DZA
2.24749,1920,9,DZA
